GraveID	GraveName	PhaseID	GraveDepth	HumanMNI	CitationID	ItemID	notes	time_added	user_added	time_last_update	user_last_update
G07659	101	DEBTOER1	\N	1	depae2020b	\N	\N	\N	\N	2022-05-16 08:49:47	sam@localhost
G07660	221	DEBTOER1	\N	1	depae2020b	\N	\N	\N	\N	2022-05-16 08:49:47	sam@localhost
G07661	223	DEBTOER1	\N	1	depae2020b	\N	\N	\N	\N	2022-05-16 08:49:47	sam@localhost
G07662	353	DEBTOER1	\N	1	depae2020b	\N	\N	\N	\N	2022-05-16 08:49:47	sam@localhost
G07663	930	DEBTOER1	\N	1	depae2020b	\N	\N	\N	\N	2022-05-16 08:49:47	sam@localhost
G07664	889	DEBTOER1	\N	1	depae2020b	\N	\N	\N	\N	2022-05-16 08:49:47	sam@localhost
G07665	1412	DEBTOER1	\N	1	depae2020b	\N	\N	\N	\N	2022-05-16 08:49:47	sam@localhost
G07666	1421	DEBTOER1	\N	1	depae2020b	\N	\N	\N	\N	2022-05-16 08:49:47	sam@localhost
G12921	HUNG305; Feature 353	DEBTOER1	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12922	HUNG305; Feature 930	DEBTOER1	\N	1	gelab2023a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G14962	Grave Obj. 921/Str.1557	DEBTOER1	\N	2	gamar2018a	\N	\N	2024-11-21 00:00:00	yuzhen_li@localhost	2024-11-28 10:46:15	yuzhen_li@localhost
G14963	Obj. 994/Str. 1625	DEBTOER1	\N	2	gamar2018a	\N	\N	2024-11-21 00:00:00	yuzhen_li@localhost	2024-11-28 10:46:15	yuzhen_li@localhost
G14948	Bones 8	ERIMUE	\N	2	vosko2021a	\N	\N	2024-11-18 13:13:13	sam@localhost	2024-11-18 13:13:13	sam@localhost
G14949	Bones 4, Box 2	ERIMUE	\N	3	vosko2021a	\N	\N	2024-11-18 13:13:13	sam@localhost	2024-11-18 13:13:13	sam@localhost
G16902	\N	KPKLN	\N	1	kaupo2023a	\N	\N	2025-08-21 11:19:53	yuzhen_li@localhost	2025-08-21 11:19:53	yuzhen_li@localhost
G11414	QUIN59	CASQUI1	\N	1	brune2020a	\N	\N	2023-06-21 10:22:37	robert@localhost	2023-06-21 10:22:37	robert@localhost
G11415	QUIN234	CASQUI1	\N	1	brune2020a	\N	\N	2023-06-21 10:22:37	robert@localhost	2023-06-21 10:22:37	robert@localhost
G11416	QUIN58	CASQUI1	\N	1	brune2020a	\N	\N	2023-06-21 10:22:37	robert@localhost	2023-06-21 10:22:37	robert@localhost
G12895	718/1025	PFHUN1	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
G12904	881/1252	PFHUN1	\N	1	whitt2013a	\N	\N	2023-12-15 11:27:13	robert@localhost	2023-12-15 11:27:13	robert@localhost
